erc20_name
Tether USD
BNB
USD Coin
Wrapped LUNA Token
HEX
Wrapped UST Token
Binance USD
SHIBA INU
Wrapped BTC
Matic Token
stETH
Wrapped liquid staked Ether 2.0
Cronos Coin
Dai Stablecoin
ChainLink Token
TRON
Bitfinex LEO Token
Theta Token
OKB
Uniswap
VeChain
Wrapped Filecoin
SAND
Wrapped Decentraland MANA
Compound Ether
Fantom Token
Magic Internet Money
Frax
Graph Token
Frax Share
KuCoin Token
Compound USD Coin
BitTorrent
Chain
Huobi BTC
Maker
Zilliqa
Compound Dai
Quant
HarmonyOne
Gala
HuobiToken
Synthetix Network Token
Wrapped Celo
EnjinCoin
TrueUSD
Nexo
chiliZ
LoopringCoin V2
BitDAO
BAT
Amp
Compound
Pax Dollar
Celsius
Aave interest bearing CRV
Curve DAO Token 
HoloToken
ZRX
Lido DAO Token
IoTeX Network
NXM
Compound USDT
WQtum
XinFin XDCE
yearn.finance
SushiToken
Smooth Love Potion
OMG Network
Gnosis
Synapse
Swipe
Serum
1INCH Token
Paxos Gold
Dogelon
Bancor
Livepeer Token
IOSToken
Rocket Pool
Rocket Pool
WAX Token
Fei USD
Render Token
Tether Gold
Wootrade Network
renBTC
Olympus
APENFT
dYdX
Kyber Network Crystal v2
Golem Network Token
SwissBorg
UMA Voting Token v1
Polymath
Telcoin
Spell Token
CEEK
Illuvium
HUSD
OriginToken
Ethereum Name Service
KEEP Token
CelerToken
pTokens SAFEMOON
DENT
StatusNetwork
Aurora
FLOKI
Tribe
MCO
MXCToken
Injective Token
Chroma
CoinEx Token
Anyswap
Ocean Token
Pundi X Token
Fetch
KyberNetwork
Reserve Rights
XY Oracle
Trace
Orbs
PowerLedger
Boba Token
MEDX TOKEN
Gemini dollar
Function X
Mask Network
Rari Governance Token
StormX
Divi Exchange Token
Metal
Energy Web Token Bridged
AlphaToken
Request
Storj
Balancer
XSGD
Aragon Network Token
BandToken
Numeraire
ELF
Bifrost
Beta Token
Keep3rV1
Token Prometeus Network
NKN
Alchemy
Orchid
QuarkChain Token
RLC
Ankr Eth2 Reward Bearing Certificate
BTRFLY
Dusk Network
BitMax token
Dawn
DODO bird
STASIS EURS Token
STPT
TrueFi
Iron Bank EUR
SingularityNET Token
Synth sUSD
Adshares
ALICE
Proton
FunFair
UniBright
Marlin POND
HooToken
Propy
AIOZ Network
SpookyToken
Compound 0x
Adventure Gold
FOX
Covalent Query Token
FEGtoken
Origin Dollar
Decentral Games
Aurora DAO
Reputation
EthLend
Compound Basic Attention Token
Veritaseum
CocosToken
Gitcoin
Aergo
Automata
CoinDash Token
Melon Token
Mainframe Token
TORN Token
CarryToken
Wrapped Celo USD
Uquid Coin
Sai Stablecoin v1.0
Presearch
EverRise
PlatonCoin
Quickswap
BetProtocolToken
Decentral Games Governance
LCX
Refereum
Somnium Space Cubes
bZx Protocol Token
BioPassport Coin
DIAToken
mStable USD
QANX Token
DeversiFi Token
Kin
Shiden
Rarible
Vader
Ribbon
Ampleforth Governance
Nectar
BitMartToken
QASH
Fuse Token
Bluzelle
BarnBridge Governance Token
Moss Coin
GRID
SelfKey
Cortex Coin
Tellor Tributes
Quantstamp
Litentry
Wrapped NXM
Nuls
Parsiq Token
SENTINEL PROTOCOL
LockTrip
ZEON
USDK
MANTRA DAO
Bytom
Frontier Token
InsurAce
MATH Token
RHOC
OVR
CargoX
Civilization
CRPT
ParaSwap
Pinakion
NAGA Coin
Guaranteed Entrance Token
Measurable Data Token
HOPR Token
Stratos Token
Rubic
BOX Token
Kryll
BOSAGORA
Fusion
Metronome
dForce
DEXTools
Eden
Instadapp
IceToken
Reserve
Gifto
Switcheo Token
PAID Network
pNetwork Token
WaykiCoin
Dock
NimiqNetwork
BTU Protocol
pTokens BTC
THORSwap Token
AirSwap
POA ERC20 on Foundation
QRL
LON Token
OCC
Route
Shyft [ Wrapped ]
Blockport
Student Coin
NUM Token
StackOS
veCRV-DAO yVault
0chain
Yuan Chain New
UniLend Finance Token
AVT
ELYSIA
ICONOMI
Ultiledger
STAKE
BZ
hoge.finance
Orion Money Token
SAN
Wirex Token
ERC20
Symbiosis
Rupiah Token
SwftCoin
Offshift
Exeedme
Oraichain Token
WPPToken
Bread
Sentivate
Imported GBYTE
UniCrypt
Dragon
PolkaFoundry
TE-FOOD/TustChain
ANGLE
VesperToken
NFTrade Token
ArcBlock
Pluton
TokenClub Token
Gelato Network Token
DSLA
Morpheus Infrastructure Token
AOG
Pendle
Torum
Polkamon
LikeCoin
Walton
Cardstack
FOAM Token
Fractal Protocol Token
EligmaToken
PolkaBridge
Internxt
Smart Advertising Transaction Token
BAX
UTN-P: Universa Token
O3 Swap Token
StakeWise
Meta
Hegic
Ixs Token
DappRadar
Curate
GOVI
Populous
$Poolz Finance
Amber
ZBToken
UnmarshalToken
BLOCKv
VISOR
KAN
BHPCash
dHedge DAO Token
Antimatter.Finance Governance Token
Blockchain Monster Coin
Spice
Woofy
RAE Token
GoBlank Token
0xBitcoin Token
Nebulas
Shopping.io
iQeon
BiFi
Smart MFG
Cashaa
Darwinia Network Native Token
ChangeNOW
SPANK
ProBit Token
Nerve Network
MCDEX Token
ZTCoin
DOVU
Launchpool token
Atomic Wallet Token
BTC 2x Flexible Leverage Index
Dentacoin
Jarvis Reward Token
Moeda Loyalty Points
Deri
UNIC
CREDITS
Gro DAO Token
